2020-10-03 at 11:43:29 | DEBUG | weather data: get day data success !!
2020-10-03 at 11:50:24 | DEBUG | weather data: get day data success !!
2020-10-03 at 11:58:37 | DEBUG | weather data: get day data success !!
2020-10-03 at 11:59:57 | DEBUG | weather data: translate data success !!
2020-10-03 at 12:00:27 | DEBUG | weather data: translate data success !!
2020-10-03 at 12:09:04 | DEBUG | weather data: translate data success !!
2020-10-03 at 12:10:22 | DEBUG | weather data: translate data success !!
2020-10-03 at 12:13:02 | DEBUG | weather data: translate data success !!
2020-10-03 at 14:04:10 | DEBUG | weather data: translate data success !!
2020-10-03 at 14:04:48 | DEBUG | weather data: translate data success !!
2020-10-03 at 14:05:31 | DEBUG | weather data: translate data success !!
2020-10-03 at 14:06:48 | DEBUG | weather data: translate data success !!
2020-10-03 at 14:07:35 | DEBUG | weather data: translate data success !!
2020-10-03 at 14:07:59 | DEBUG | weather data: translate data success !!
2020-10-03 at 14:08:18 | DEBUG | weather data: translate data success !!
2020-10-03 at 14:09:48 | DEBUG | weather data: translate data success !!
2020-10-03 at 14:10:33 | DEBUG | weather data: translate data success !!
2020-10-03 at 14:11:13 | DEBUG | weather data: translate data success !!
2020-10-03 at 14:11:14 | DEBUG | Database: init db success
2020-10-03 at 14:11:14 | ERROR | weather data: insert weather data to DB failed !!
2020-10-03 at 14:11:45 | DEBUG | weather data: translate data success !!
2020-10-03 at 14:11:45 | DEBUG | Database: init db success
2020-10-03 at 14:11:46 | DEBUG | Database: insertFrame success
2020-10-03 at 14:11:46 | DEBUG | weather data: insert weather data to DB success !!
