2020-09-04 at 00:45:05 | DEBUG | test
2020-09-04 at 00:45:29 | DEBUG | test
2020-09-04 at 00:46:24 | DEBUG | test
2020-09-04 at 00:46:33 | DEBUG | test
2020-09-04 at 00:46:34 | DEBUG | Client : send data 1!
2020-09-04 at 00:46:36 | DEBUG | Client : send data 2!
2020-09-04 at 00:46:43 | DEBUG | test
2020-09-04 at 20:40:30 | DEBUG | test
2020-09-04 at 20:41:06 | DEBUG | test
2020-09-04 at 20:41:11 | DEBUG | test
2020-09-04 at 20:41:29 | DEBUG | test
2020-09-04 at 20:41:32 | DEBUG | test
2020-09-04 at 20:41:34 | DEBUG | test
2020-09-04 at 20:41:39 | DEBUG | test
2020-09-04 at 20:44:34 | DEBUG | test
2020-09-04 at 20:44:36 | DEBUG | test
2020-09-04 at 20:44:51 | DEBUG | test
2020-09-04 at 20:44:54 | DEBUG | test
2020-09-04 at 20:44:57 | DEBUG | test
2020-09-04 at 20:55:30 | DEBUG | test
2020-09-04 at 20:55:39 | DEBUG | test
2020-09-04 at 20:55:42 | DEBUG | test
2020-09-04 at 20:55:44 | DEBUG | test
2020-09-04 at 20:55:44 | DEBUG | Server : connect with 60296!
2020-09-04 at 20:55:44 | DEBUG | Server : put 60296 to the storage!
2020-09-04 at 20:55:52 | DEBUG | Client : send data 1!
2020-09-04 at 20:55:57 | DEBUG | Client : send data 2!
2020-09-04 at 20:56:57 | DEBUG | test
2020-09-04 at 20:57:00 | DEBUG | test
2020-09-04 at 20:57:02 | DEBUG | test
2020-09-04 at 20:57:02 | DEBUG | Server : connect with 60303!
2020-09-04 at 20:57:02 | DEBUG | Server : put 60303 to the storage!
2020-09-04 at 20:57:05 | DEBUG | Client : send data 5!
2020-09-04 at 20:57:32 | DEBUG | Client : send data 333!
2020-09-04 at 20:57:36 | DEBUG | test
2020-09-04 at 21:06:18 | DEBUG | test
2020-09-04 at 21:06:20 | DEBUG | test
2020-09-04 at 21:06:20 | DEBUG | Server : connect with 60348!
2020-09-04 at 21:06:20 | DEBUG | Server : put 60348 to the storage!
