2020-09-13 at 15:05:23 | DEBUG | stock_backtrace: get day data
2020-09-13 at 15:05:24 | DEBUG | Database: init db success
2020-09-13 at 15:05:24 | DEBUG | Database: insertFrame success
2020-09-13 at 15:08:25 | DEBUG | stock_backtrace: get month data
2020-09-13 at 15:08:30 | DEBUG | Database: init db success
2020-09-13 at 15:08:30 | DEBUG | Database: insertFrame success
2020-09-13 at 17:55:36 | DEBUG | Client : send data HI!
2020-09-13 at 17:59:32 | DEBUG | Client : send data 111!
2020-09-13 at 17:59:38 | DEBUG | Client : send data 555!
2020-09-13 at 18:01:29 | DEBUG | Client : send data 555!
2020-09-13 at 18:01:32 | DEBUG | Client : send data 1!
