2020-10-17 at 17:05:01 | DEBUG | Database: init db success
2020-10-17 at 17:05:01 | DEBUG | weather data: DataFrame is empty! Try parse the new data
2020-10-17 at 17:05:03 | DEBUG | weather data: get day data success !!
2020-10-17 at 17:05:05 | DEBUG | weather data: translate data success !!
2020-10-17 at 17:05:05 | DEBUG | Database: init db success
2020-10-17 at 17:05:05 | DEBUG | Database: insertFrame success
2020-10-17 at 17:05:05 | DEBUG | weather data: insert weather data to DB success !!
2020-10-17 at 17:05:05 | DEBUG | weather data: redundant data delete success !!
2020-10-17 at 17:05:05 | DEBUG | weather data: DataFrame is empty! Try parse the new data
2020-10-17 at 17:05:06 | DEBUG | weather data: get day data success !!
2020-10-17 at 17:05:06 | DEBUG | weather data: translate data success !!
2020-10-17 at 17:05:06 | DEBUG | Database: init db success
2020-10-17 at 17:05:06 | DEBUG | Database: insertFrame success
2020-10-17 at 17:05:06 | DEBUG | weather data: insert weather data to DB success !!
