2020-12-21 at 19:29:05 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:14:17 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:14:23 | DEBUG | Database: init db success
2020-12-21 at 20:14:23 | DEBUG | Database: insertFrame success
2020-12-21 at 20:14:23 | DEBUG | stock_backtrace: get data success
2020-12-21 at 20:14:23 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:14:28 | DEBUG | Database: init db success
2020-12-21 at 20:14:28 | DEBUG | Database: insertFrame success
2020-12-21 at 20:14:28 | DEBUG | stock_backtrace: get data success
2020-12-21 at 20:14:29 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:14:34 | DEBUG | Database: init db success
2020-12-21 at 20:14:34 | DEBUG | Database: insertFrame success
2020-12-21 at 20:14:34 | DEBUG | stock_backtrace: get data success
2020-12-21 at 20:14:34 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:14:39 | DEBUG | Database: init db success
2020-12-21 at 20:14:39 | DEBUG | Database: insertFrame success
2020-12-21 at 20:14:39 | DEBUG | stock_backtrace: get data success
2020-12-21 at 20:14:40 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:14:45 | DEBUG | Database: init db success
2020-12-21 at 20:14:45 | DEBUG | Database: insertFrame success
2020-12-21 at 20:14:45 | DEBUG | stock_backtrace: get data success
2020-12-21 at 20:14:45 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:14:50 | DEBUG | Database: init db success
2020-12-21 at 20:14:50 | DEBUG | Database: insertFrame success
2020-12-21 at 20:14:50 | DEBUG | stock_backtrace: get data success
2020-12-21 at 20:14:51 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:14:56 | DEBUG | Database: init db success
2020-12-21 at 20:14:56 | DEBUG | Database: insertFrame success
2020-12-21 at 20:14:56 | DEBUG | stock_backtrace: get data success
2020-12-21 at 20:14:56 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:15:01 | DEBUG | Database: init db success
2020-12-21 at 20:15:01 | DEBUG | Database: insertFrame success
2020-12-21 at 20:15:01 | DEBUG | stock_backtrace: get data success
2020-12-21 at 20:15:02 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:15:07 | DEBUG | Database: init db success
2020-12-21 at 20:15:07 | DEBUG | Database: insertFrame success
2020-12-21 at 20:15:07 | DEBUG | stock_backtrace: get data success
2020-12-21 at 20:15:07 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:15:12 | DEBUG | Database: init db success
2020-12-21 at 20:15:12 | DEBUG | Database: insertFrame success
2020-12-21 at 20:15:13 | DEBUG | stock_backtrace: get data success
2020-12-21 at 20:15:13 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:15:18 | DEBUG | Database: init db success
2020-12-21 at 20:15:18 | DEBUG | Database: insertFrame success
2020-12-21 at 20:15:18 | DEBUG | stock_backtrace: get data success
2020-12-21 at 20:15:18 | DEBUG | Database: init db success
2020-12-21 at 20:17:15 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:17:20 | DEBUG | Database: init db success
2020-12-21 at 20:17:20 | DEBUG | Database: insertFrame success
2020-12-21 at 20:17:20 | DEBUG | stock_backtrace: get data success
2020-12-21 at 20:17:20 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:17:25 | DEBUG | Database: init db success
2020-12-21 at 20:17:26 | DEBUG | Database: insertFrame success
2020-12-21 at 20:17:26 | DEBUG | stock_backtrace: get data success
2020-12-21 at 20:17:26 | DEBUG | stock_backtrace: get month data
2020-12-21 at 20:17:31 | DEBUG | Database: init db success
2020-12-21 at 20:17:31 | DEBUG | Database: insertFrame success
2020-12-21 at 20:17:31 | DEBUG | stock_backtrace: get data success
